pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone
2019-03-23 20:21:09,2019-03-23 20:27:24,1.0,1.6,7.0,2.15,0.0,12.95,yellow,credit card,Lenox Hill West,UN/Turtle Bay South
2019-03-04 16:11:55,2019-03-04 16:19:00,1.0,0.79,5.0,0.0,0.0,9.3,yellow,cash,Upper West Side South,Upper West Side South
2019-03-27 17:53:01,2019-03-27 18:00:25,,1.37,7.5,2.36,0.0,14.16,yellow,credit card,Alphabet City,West Village
2019-03-10 01:23:59,2019-03-10 01:49:51,,7.7,27.0,6.15,0.0,36.95,yellow,credit card,Hudson Sq,Yorkville West
2019-03-30 13:27:42,2019-03-30 13:37:14,,2.16,9.0,1.1,0.0,13.4,yellow,credit card,Midtown East,Yorkville West
2019-03-11 10:37:23,2019-03-11 10:47:31,1.0,0.49,7.5,2.16,0.0,12.96,yellow,credit card,Times Sq/Theatre District,Midtown East
2019-03-26 21:07:31,2019-03-26 21:17:29,1.0,3.65,13.0,2.0,0.0,18.8,yellow,credit card,Battery Park City,Two Bridges/Seward Park
2019-03-22 12:47:13,2019-03-22 12:58:17,,1.4,8.5,0.0,0.0,11.8,yellow,,Murray Hill,Flatiron
2019-03-23 11:48:50,2019-03-23 12:06:14,1.0,3.63,15.0,1.0,0.0,19.3,yellow,credit card,East Harlem South,Midtown Center
2019-03-08 16:18:37,2019-03-08 16:26:57,1.0,1.52,8.0,1.0,0.0,13.3,yellow,credit card,Lincoln Square East,Central Park
2019-03-16 10:02:25,2019-03-16 10:22:29,1.0,3.9,17.0,0.0,0.0,17.8,yellow,cash,LaGuardia Airport,Astoria
2019-03-20 19:39:42,2019-03-20 19:45:36,1.0,1.53,6.5,2.16,0.0,12.96,yellow,credit card,Upper West Side South,Manhattan Valley
2019-03-18 21:27:14,2019-03-18 21:34:16,1.0,1.05,6.5,1.0,0.0,11.3,yellow,credit card,Murray Hill,Midtown Center
2019-03-19 07:55:25,2019-03-19 08:09:17,1.0,1.75,10.5,0.0,0.0,13.8,yellow,cash,Lincoln Square West,Times Sq/Theatre District
2019-03-27 12:13:34,2019-03-27 12:25:48,0.0,2.9,11.5,0.0,0.0,14.8,yellow,cash,Financial District North,Two Bridges/Seward Park
2019-03-16 17:53:34,2019-03-16 18:13:57,,2.09,13.5,0.0,0.0,16.8,yellow,cash,Upper West Side North,Clinton East
2019-03-15 12:36:05,2019-03-15 12:54:28,1.0,2.12,13.0,0.0,0.0,16.3,yellow,cash,East Chelsea,Meatpacking/West Village West
2019-03-23 20:50:49,2019-03-23 21:02:07,,2.6,10.5,2.0,0.0,16.3,yellow,credit card,Midtown Center,East Harlem South
2019-03-27 06:28:36,2019-03-27 06:38:10,1.0,2.18,9.5,1.92,0.0,14.72,yellow,credit card,Gramercy,Midtown Center
